<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBRF;1;20260505;123500;32708;32719;32704;32705;199
SBRF;1;20260505;123600;32703;32707;32702;32706;37
SBRF;1;20260505;123700;32703;32708;32700;32705;116
SBRF;1;20260505;123800;32701;32701;32681;32681;143
SBRF;1;20260505;123900;32683;32683;32679;32680;41
SBRF;1;20260505;124000;32679;32690;32679;32690;79
SBRF;1;20260505;124100;32689;32690;32685;32690;42
SBRF;1;20260505;124200;32689;32690;32689;32689;26
SBRF;1;20260505;124300;32689;32692;32689;32691;54
SBRF;1;20260505;124400;32690;32690;32683;32683;23
SBRF;1;20260505;124500;32684;32684;32683;32683;22
SBRF;1;20260505;124600;32684;32684;32683;32683;19
SBRF;1;20260505;124700;32683;32683;32683;32683;35
SBRF;1;20260505;124800;32683;32683;32683;32683;35
SBRF;1;20260505;125000;32684;32691;32684;32691;53
SBRF;1;20260505;125100;32692;32692;32688;32688;41
SBRF;1;20260505;125200;32686;32688;32686;32688;48
SBRF;1;20260505;125300;32689;32700;32689;32700;102
SBRF;1;20260505;125400;32699;32708;32699;32708;116
SBRF;1;20260505;125500;32710;32714;32710;32714;35
SBRF;1;20260505;125600;32714;32714;32713;32713;29
SBRF;1;20260505;125700;32713;32714;32713;32713;27
SBRF;1;20260505;125800;32713;32714;32700;32708;155
SBRF;1;20260505;125900;32705;32706;32697;32704;113
SBRF;1;20260505;130000;32704;32710;32702;32709;175
SBRF;1;20260505;130100;32709;32709;32707;32707;17
SBRF;1;20260505;130200;32707;32707;32701;32701;30
SBRF;1;20260505;130300;32701;32701;32700;32701;93
SBRF;1;20260505;130400;32700;32707;32700;32707;119
SBRF;1;20260505;130500;32708;32708;32707;32707;45
SBRF;1;20260505;130600;32708;32708;32705;32706;23
SBRF;1;20260505;130700;32705;32706;32700;32700;42
SBRF;1;20260505;130800;32700;32702;32700;32702;20
SBRF;1;20260505;130900;32702;32702;32676;32676;1514
SBRF;1;20260505;131000;32675;32675;32661;32663;136
SBRF;1;20260505;131100;32663;32663;32653;32653;123
SBRF;1;20260505;131200;32653;32653;32634;32641;231
SBRF;1;20260505;131300;32641;32641;32636;32638;64
SBRF;1;20260505;131400;32638;32638;32637;32638;51
SBRF;1;20260505;131500;32637;32646;32637;32643;44
SBRF;1;20260505;131600;32643;32643;32642;32642;38
SBRF;1;20260505;131700;32643;32643;32642;32642;26
SBRF;1;20260505;131800;32647;32647;32643;32644;42
SBRF;1;20260505;131900;32644;32644;32642;32643;26
SBRF;1;20260505;132000;32646;32646;32644;32644;12
SBRF;1;20260505;132100;32638;32647;32638;32647;22
SBRF;1;20260505;132200;32650;32651;32650;32651;71
SBRF;1;20260505;132300;32653;32658;32653;32658;36
SBRF;1;20260505;132400;32659;32667;32659;32667;43
SBRF;1;20260505;132500;32663;32663;32660;32660;7
SBRF;1;20260505;132600;32659;32659;32658;32658;30
SBRF;1;20260505;132700;32659;32659;32659;32659;5
SBRF;1;20260505;132800;32658;32658;32645;32645;74
SBRF;1;20260505;132900;32641;32641;32623;32635;147
SBRF;1;20260505;133000;32634;32635;32612;32614;109
SBRF;1;20260505;133100;32612;32616;32608;32610;173
SBRF;1;20260505;133200;32610;32631;32610;32631;94
SBRF;1;20260505;133300;32634;32644;32634;32641;39
SBRF;1;20260505;133400;32641;32642;32628;32628;98
SBRF;1;20260505;133500;32627;32628;32627;32628;13
SBRF;1;20260505;133600;32621;32625;32620;32623;33
SBRF;1;20260505;133700;32625;32625;32614;32614;137
SBRF;1;20260505;133800;32618;32624;32608;32624;930
SBRF;1;20260505;133900;32624;32635;32624;32628;65
SBRF;1;20260505;134000;32628;32648;32628;32648;34
SBRF;1;20260505;134100;32648;32674;32648;32674;152
SBRF;1;20260505;134200;32674;32712;32674;32712;262
SBRF;1;20260505;134300;32712;32716;32707;32707;59
SBRF;1;20260505;134400;32707;32707;32698;32703;64
SBRF;1;20260505;134500;32703;32717;32703;32714;126
SBRF;1;20260505;134600;32718;32724;32716;32722;93
SBRF;1;20260505;134700;32722;32727;32711;32727;217
SBRF;1;20260505;134800;32727;32736;32719;32736;348
SBRF;1;20260505;134900;32736;32759;32736;32752;496
SBRF;1;20260505;135000;32751;32753;32723;32723;862
SBRF;1;20260505;135100;32721;32722;32700;32700;200
SBRF;1;20260505;135200;32699;32699;32682;32682;43
SBRF;1;20260505;135300;32684;32692;32684;32692;106
SBRF;1;20260505;135400;32695;32707;32695;32700;69
SBRF;1;20260505;135500;32700;32700;32699;32699;21
SBRF;1;20260505;135600;32699;32699;32697;32697;31
SBRF;1;20260505;135700;32697;32697;32678;32686;168
SBRF;1;20260505;135800;32683;32684;32682;32683;27
SBRF;1;20260505;135900;32686;32687;32686;32686;17
SBRF;1;20260505;140000;32687;32695;32686;32693;59
SBRF;1;20260505;140100;32690;32691;32680;32685;155
SBRF;1;20260505;140200;32684;32685;32684;32685;4
SBRF;1;20260505;140300;32685;32685;32684;32684;5
SBRF;1;20260505;140400;32685;32685;32656;32663;108
SBRF;1;20260505;140500;32664;32679;32661;32666;221
SBRF;1;20260505;140600;32665;32665;32623;32631;334
SBRF;1;20260505;140700;32632;32635;32630;32635;47
SBRF;1;20260505;140800;32652;32662;32652;32662;63
SBRF;1;20260505;141000;32661;32667;32661;32667;25
SBRF;1;20260505;141100;32668;32668;32667;32668;39
SBRF;1;20260505;141200;32672;32697;32672;32681;146
SBRF;1;20260505;141300;32682;32684;32675;32675;73
